Nom;Liste des attributs;Identifiant produit;ean13;Nom catégorie par défaut;wholesale_price;Prix de vente HT;Prix de vente TTC avant remises;Montant de la remise;Prix barré TTC;Prix de vente TTC final;;Identifiant déclinaison;ean13 décl.;Référence déclinaison;Impact sur prix de vente (HT/TTC suivant PS version);Impact sur prix de vente TTC
TEE SHIRT HOMME BLANC LOGO NIK;L;1377;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2340;2090419368387;;;
TEE SHIRT HOMME BLANC LOGO NIK;S;1378;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2338;2085924535973;;;
TEE SHIRT HOMME BLANC LOGO NIK;XXXL;1379;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2343;2099365791348;;;
TEE SHIRT HOMME BLANC LOGO NIK;XXL;1380;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2342;2012650266451;;;
TEE SHIRT HOMME BLANC LOGO NIK;XL;1381;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2341;2061852797058;;;
TEE SHIRT HOMME BLANC LOGO NIK;M;1382;;VETEMENT;8,600000;20,833333;25,00;;25,00;25,00;;2339;2081782847807;;;
TEE SHIRT HOMME BLEU;S;1383;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2378;2190379822810;2677S;;
TEE SHIRT HOMME BLEU;XS;1384;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2377;;2677XS;;
TEE SHIRT HOMME BLEU;XL;1385;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2381;2273244948881;2677XL;;
TEE SHIRT HOMME BLEU;M;1386;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2379;2195788811240;2677M;;
TEE SHIRT HOMME BLEU;L;1387;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2380;2219862681199;2677L;;
TEE SHIRT HOMME BLEU;XXL;1388;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2382;;2677XXL;;
TEE SHIRT HOMME BLEU BLONDE L;;1389;;VETEMENT;8,000000;20,833333;25,00;;25,00;25,00;;;;;;
TEE SHIRT HOMME DEGRADE BLEU;S;1390;;VETEMENT;9,950000;20,833333;25,00;;25,00;25,00;;2825;2658693756414;;;
TEE SHIRT HOMME DEGRADE BLEU;M;1391;;VETEMENT;9,950000;20,833333;25,00;;25,00;25,00;;2826;3084271575396;;;
TEE SHIRT HOMME DEGRADE BLEU;L;1392;;VETEMENT;9,950000;20,833333;25,00;;25,00;25,00;;2827;3105081104368;;;
TEE SHIRT HOMME DEGRADE BLEU;XL;1393;;VETEMENT;9,950000;20,833333;25,00;;25,00;25,00;;2828;3130540881702;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;XXS;1394;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2360;2066403802663;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;XS;1395;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2361;2069057415692;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;S;1396;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2362;2076324821469;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;XL;1397;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2365;2073990634973;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;M;1398;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2363;2090878618443;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;XXL;1399;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2366;2045927264454;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;L;1400;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2364;2015078755262;;;
TEE SHIRT HOMME GRIS LOGO NIKE BLEU;XXXL;1401;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2367;2020825516409;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;XXS;1402;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2352;2042011309725;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;XS;1403;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2353;2070178896864;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;S;1404;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2354;2004678135246;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;XL;1405;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2357;2081861878616;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;M;1406;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2355;2054694160647;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;L;1407;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2356;2033634856352;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;XXXL;1408;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2359;2072957028855;;;
TEE SHIRT HOMME NOIR LOGO TROPEZ;XXL;1409;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2358;2044456613351;;;
TEE SHIRT HOMME TERRACOTA;S;1410;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2805;2345678901234;2676S;;
TEE SHIRT HOMME TERRACOTA;L;1411;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2807;2447160423740;2676L;;
TEE SHIRT HOMME TERRACOTA;M;1412;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2806;2439173828261;2676M;;
TEE SHIRT HOMME TERRACOTA;XL;1413;;VETEMENT;9,900000;20,833333;25,00;;25,00;25,00;;2808;2652142893255;2676XL;;
TEE SHIRT HOMMENOIR PAILLETTE;L;1414;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2348;2077454458242;;;
TEE SHIRT HOMMENOIR PAILLETTE;XS;1415;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2345;2070588313814;;;
TEE SHIRT HOMMENOIR PAILLETTE;S;1416;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2346;2022673466783;;;
TEE SHIRT HOMMENOIR PAILLETTE;XXS;1417;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2344;2025584041568;;;
TEE SHIRT HOMMENOIR PAILLETTE;M;1418;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2347;2073533734467;;;
TEE SHIRT HOMMENOIR PAILLETTE;XXXL;1419;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2351;2083197318415;;;
TEE SHIRT HOMMENOIR PAILLETTE;XXL;1420;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2350;2065530309441;;;
TEE SHIRT HOMMENOIR PAILLETTE;XL;1421;;VETEMENT;8,850000;20,833333;25,00;;25,00;25,00;;2349;2055279338086;;;
TEE SHIRT MIXTE BLEU;S;1422;2004120283501;VETEMENT;9,920000;20,833333;25,00;;25,00;25,00;;3123;;;;
TEE SHIRT MIXTE BLEU;XL;1423;2004120283501;VETEMENT;9,920000;20,833333;25,00;;25,00;25,00;;3122;;;;
TEE SHIRT MIXTE BLEU;L;1424;2004120283501;VETEMENT;9,920000;20,833333;25,00;;25,00;25,00;;3121;;;;
TEE SHIRT MIXTE BLEU;M;1425;2004120283501;VETEMENT;9,920000;20,833333;25,00;;25,00;25,00;;3120;;;;
TEE SHIRT MIXTE TAUPE ST;S;1426;2004120283501;BRADERIE;9,920000;20,833333;25,00;;25,00;25,00;;3116;2067491663693;;;
TEE SHIRT MIXTE TAUPE ST;L;1427;2004120283501;BRADERIE;9,920000;20,833333;25,00;;25,00;25,00;;3118;2015982340202;;;
TEE SHIRT MIXTE TAUPE ST;M;1428;2004120283501;BRADERIE;9,920000;20,833333;25,00;;25,00;25,00;;3117;2061027663713;;;
TEE SHIRT MIXTE TAUPE ST;XL;1429;2004120283501;BRADERIE;9,920000;20,833333;25,00;;25,00;25,00;;3119;2012544387965;;;
TEE SHIRT PANNEAU MAXIME;S;1430;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2229;2046368734582;;;
TEE SHIRT PANNEAU MAXIME;XXS;1431;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2227;2092199923442;;;
TEE SHIRT PANNEAU MAXIME;XS;1432;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2228;2028727984616;;;
TEE SHIRT PANNEAU MAXIME;L;1433;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2231;2075292203321;;;
TEE SHIRT PANNEAU MAXIME;XL;1434;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2232;2044187786737;;;
TEE SHIRT PANNEAU MAXIME;M;1435;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2230;2081228026827;;;
TEE SHIRT PANNEAU MAXIME;XXXL;1436;2004120283501;BRADERIE;9,600000;12,500000;15,00;;15,00;15,00;;2234;2052540456296;;;
